"","V1","Participant","Code","group_name"
"1",7,8,100,"eng_mono"
"2",13,7,112,"south_asian"
"3",16,1,101,"non_asian_multi"
"4",6,9,100,"eng_mono"
"5",10,10,100,"eng_mono"
"6",3,11,100,"eng_mono"
"7",15,12,101,"non_asian_multi"
"8",6,13,100,"eng_mono"
"9",5,14,100,"eng_mono"
"10",6,15,100,"eng_mono"
"11",9,16,100,"eng_mono"
"12",8,17,100,"eng_mono"
"13",9,18,101,"non_asian_multi"
"14",22,19,100,"eng_mono"
"15",10,2,101,"non_asian_multi"
"16",9,20,101,"non_asian_multi"
"17",9,23,101,"non_asian_multi"
"18",9,25,100,"eng_mono"
"19",10,26,111,"east_asian"
"20",10,27,111,"east_asian"
"21",4,28,100,"eng_mono"
"22",5,29,100,"eng_mono"
"23",18,3,111,"east_asian"
"24",10,30,112,"south_asian"
"25",9,31,100,"eng_mono"
"26",5,32,111,"east_asian"
"27",10,33,100,"eng_mono"
"28",8,34,112,"south_asian"
"29",9,35,100,"eng_mono"
"30",8,36,100,"eng_mono"
"31",6,37,113,"se_asian"
"32",8,38,101,"non_asian_multi"
"33",9,4,111,"east_asian"
"34",3,40,100,"eng_mono"
"35",6,41,100,"eng_mono"
"36",10,42,101,"non_asian_multi"
"37",9,43,100,"eng_mono"
"38",5,44,100,"eng_mono"
"39",9,45,101,"non_asian_multi"
"40",6,46,100,"eng_mono"
"41",9,47,100,"eng_mono"
"42",7,48,100,"eng_mono"
"43",9,49,100,"eng_mono"
"44",5,5,101,"non_asian_multi"
"45",19,50,101,"non_asian_multi"
"46",10,51,100,"eng_mono"
"47",3,52,100,"eng_mono"
"48",9,53,112,"south_asian"
